"국가(대륙)별","상품군별","판매유형별",2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4 p)
"미국","사무·문구","계",25,10,14,18,568,17,32,60,61,42,58,69,60,42,30,79,58,55,85,83,198,72,83,101,71
"미국","사무·문구","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"미국","사무·문구","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,60,42,30,79,58,55,85,83,198,72,83,101,71
"미국","음반·비디오·악기","계",787,720,722,821,849,781,827,1109,1339,1174,1172,1556,1922,1778,2281,2647,2362,3014,3932,4550,3857,5191,5762,4786,4322
"미국","음반·비디오·악기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"미국","음반·비디오·악기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1922,1778,2281,2647,2362,3014,3932,4550,3857,5191,5762,4786,4322
"미국","의류 및 패션관련 상품","계",9810,7801,6404,9208,8602,6927,8055,14482,11427,11375,11295,14354,13606,11091,11173,14483,11815,12169,10233,13658,12257,13571,13243,15964,11507
"미국","의류 및 패션관련 상품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,98,87,148,129,116,154,134,118,110,115,95,91,36
"미국","의류 및 패션관련 상품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,13508,11004,11025,14354,11699,12015,10099,13540,12147,13456,13148,15873,11471
"미국","스포츠·레저용품","계",573,539,475,491,541,527,481,658,543,663,869,1467,1475,1021,874,1121,1181,1439,1200,1072,1152,1602,3149,858,942
"미국","스포츠·레저용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,3,4,0,0,0,0
"미국","스포츠·레저용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1475,1021,874,1121,1181,1439,1199,1069,1148,1602,3149,858,942
"미국","화장품","계",3740,3713,3399,4595,11223,6176,7061,8491,10407,10980,10150,14147,15510,15511,15997,22310,13909,11219,9717,15738,10817,11310,13999,13494,8523
"미국","화장품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,7971,9005,9202,11913,4927,3311,2028,1780,2366,2647,1550,1271,625
"미국","화장품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,7539,6506,6795,10397,8982,7908,7689,13958,8451,8663,12449,12223,7898
"미국","아동·유아용품","계",583,546,499,610,1099,603,619,746,709,649,635,817,684,593,592,722,766,793,730,1056,815,1153,1702,1928,884
"미국","아동·유아용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,2,0,0,0,0,0,0
